"","Zone","term","estimate","std.error","statistic","p.value","r.squared","adj.r.squared","sigma","statistic.1","p.value.1","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"1","Inshore","(Intercept)",3044.29221725654,156.998706067898,19.3905560975768,5.02735136629041e-61,0.0431921224321925,0.0410224900567554,97.8144049091101,19.9075764729445,1.03303442720488e-05,1,-2657.88833811085,5321.7766762217,5334.05738553183,4219337.09320599,441,443
"2","Inshore","BestSalinity",-19.4288318519222,4.35449196293018,-4.46179072491578,1.0330344272049e-05,0.0431921224321925,0.0410224900567554,97.8144049091101,19.9075764729445,1.03303442720488e-05,1,-2657.88833811085,5321.7766762217,5334.05738553183,4219337.09320599,441,443
"3","Mid channel","(Intercept)",2012.91576254396,142.211254014695,14.1544055461037,3.20082265859914e-37,0.0149606764119506,0.0125224602644555,55.8679489291437,6.13591064406657,0.0136546083944605,1,-2208.42085893943,4422.84171787885,4434.86077735766,1260975.99788996,404,406
"4","Mid channel","BestSalinity",9.78235370990879,3.94915199096112,2.47707703636092,0.0136546083944603,0.0149606764119506,0.0125224602644555,55.8679489291437,6.13591064406657,0.0136546083944605,1,-2208.42085893943,4422.84171787885,4434.86077735766,1260975.99788996,404,406
"5","Offshore","(Intercept)",2034.27744538406,74.9337796093881,27.1476689950549,4.98800646014998e-99,0.0418130212432563,0.0398167983708463,26.7088908364924,20.9460686084509,6.02369610374182e-06,1,-2266.29460561093,4538.58921122185,4551.123043564,342415.127863519,480,482
"6","Offshore","BestSalinity",9.52878074355225,2.08202563812022,4.5766875148355,6.02369610374093e-06,0.0418130212432563,0.0398167983708463,26.7088908364924,20.9460686084509,6.02369610374182e-06,1,-2266.29460561093,4538.58921122185,4551.123043564,342415.127863519,480,482
"7","Oceanic","(Intercept)",2081.90238161432,53.8799226086154,38.6396691164034,2.46429747536512e-93,0.136935028438777,0.132509054225643,12.4514650445934,30.938957581906,8.6978599999477e-08,1,-775.327923458836,1556.65584691767,1566.50545810389,30232.6014425628,195,197
"8","Oceanic","BestSalinity",8.32753141681083,1.49714354195163,5.56227989064783,8.6978599999506e-08,0.136935028438777,0.132509054225643,12.4514650445934,30.938957581906,8.6978599999477e-08,1,-775.327923458836,1556.65584691767,1566.50545810389,30232.6014425628,195,197
