"","Zone","term","estimate","std.error","statistic","p.value","r.squared","adj.r.squared","sigma","statistic.1","p.value.1","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"1","Inshore","(Intercept)",0.566401144257192,0.0437102251906846,12.9580925695597,9.58924821482053e-33,0.296227954753115,0.294624829365309,0.0272003217478476,184.781525516544,2.25769362417796e-35,1,964.84655757195,-1923.6931151439,-1911.42598051756,0.324797443898843,439,441
"2","Inshore","BestSalinity",0.0164814588660422,0.00121245708811447,13.593436854473,2.25769362417779e-35,0.296227954753115,0.294624829365309,0.0272003217478476,184.781525516544,2.25769362417796e-35,1,964.84655757195,-1923.6931151439,-1911.42598051756,0.324797443898843,439,441
"3","Mid channel","(Intercept)",0.652997982095017,0.0388809070446108,16.794823776765,2.42736894036452e-48,0.298220298720059,0.296474578070109,0.0152670248714406,170.829335569,8.83396222116402e-33,1,1117.30356153109,-2228.60712306218,-2216.6028784283,0.0936989834669243,402,404
"4","Mid channel","BestSalinity",0.0141125616507425,0.00107975351444749,13.0701696840171,8.83396222116175e-33,0.298220298720059,0.296474578070109,0.0152670248714406,170.829335569,8.83396222116402e-33,1,1117.30356153109,-2228.60712306218,-2216.6028784283,0.0936989834669243,402,404
"5","Offshore","(Intercept)",1.0716102123015,0.0280950472651589,38.1423174763768,5.57752689395678e-147,0.020827727566819,0.0187749555072108,0.0100124653258459,10.146147239939,0.00154074136912309,1,1526.61033792394,-3047.22067584787,-3034.70557405564,0.0478189933269042,477,479
"6","Offshore","BestSalinity",0.00248655457739098,0.000780633915521873,3.18530175021753,0.00154074136912319,0.020827727566819,0.0187749555072108,0.0100124653258459,10.146147239939,0.00154074136912309,1,1526.61033792394,-3047.22067584787,-3034.70557405564,0.0478189933269042,477,479
"7","Oceanic","(Intercept)",1.14798700813714,0.0402698743849001,28.5073401810163,4.20467192166364e-71,0.000759075874501765,-0.00441833824013815,0.00930160703699497,0.146612934120021,0.702214780691075,1,636.437927911295,-1266.87585582259,-1257.0568571469,0.0166983394398402,193,195
"8","Oceanic","BestSalinity",0.000428475805893134,0.00111902595984034,0.382900684407955,0.702214780691018,0.000759075874501765,-0.00441833824013815,0.00930160703699497,0.146612934120021,0.702214780691075,1,636.437927911295,-1266.87585582259,-1257.0568571469,0.0166983394398402,193,195
