"","Sub_region","Zone","term","estimate","std.error","statistic","p.value","r.squared","adj.r.squared","sigma","statistic.1","p.value.1","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"1","BB","Inshore","(Intercept)",3405.55600424423,266.3226990608,12.7873291170978,3.96633221163826e-21,0.156940340338956,0.146532196392523,62.2982273140359,15.0786097066564,0.000209461932562679,1,-459.710089574238,925.420179148475,932.676700971865,314366.599244175,81,83
"2","BB","Inshore","BestSalinity",-28.8728216383284,7.43547260653282,-3.88311855428809,0.000209461932562675,0.156940340338956,0.146532196392523,62.2982273140359,15.0786097066564,0.000209461932562679,1,-459.710089574238,925.420179148475,932.676700971865,314366.599244175,81,83
"3","BB","Mid channel","(Intercept)",2105.19272974468,169.387377458592,12.4282739441982,1.08205813927424e-19,0.0343146903971247,0.0210861245121537,22.8449660628457,2.59398416241854,0.111586122060384,1,-340.061623986386,686.123247972773,693.075712313382,38098.1506321178,73,75
"4","BB","Mid channel","BestSalinity",7.57472821147204,4.70309113519788,1.61058503731362,0.111586122060386,0.0343146903971247,0.0210861245121537,22.8449660628457,2.59398416241854,0.111586122060384,1,-340.061623986386,686.123247972773,693.075712313382,38098.1506321178,73,75
"5","BB","Offshore","(Intercept)",2378.14096962509,106.108009858753,22.4124547505017,3.14395400764287e-36,3.74108032229738e-06,-0.0124962121561736,16.7420465175682,0.000299287545442537,0.986240415636928,1,-346.41027408638,698.820548172761,706.040705914553,22423.6897277134,80,82
"6","BB","Offshore","BestSalinity",0.0510657140055244,2.95178748027108,0.0172999290588612,0.986240415636949,3.74108032229738e-06,-0.0124962121561736,16.7420465175682,0.000299287545442537,0.986240415636928,1,-346.41027408638,698.820548172761,706.040705914553,22423.6897277134,80,82
"7","UK","Inshore","(Intercept)",3023.62236920707,284.67622107684,10.6212677608606,3.43891664842341e-18,0.0477559844157958,0.0384202587728135,73.5966183490419,5.11540144195365,0.0258360668434207,1,-593.614171135528,1193.22834227106,1201.16151496848,552479.147706282,102,104
"8","UK","Inshore","BestSalinity",-17.8562781964548,7.89498088282421,-2.26172532416155,0.0258360668434204,0.0477559844157958,0.0384202587728135,73.5966183490419,5.11540144195365,0.0258360668434207,1,-593.614171135528,1193.22834227106,1201.16151496848,552479.147706282,102,104
"9","UK","Mid channel","(Intercept)",1925.50589960231,158.547409494625,12.1446695706976,1.07690923227283e-18,0.108203166046935,0.0950885067240955,21.8610672243984,8.25055103478737,0.00542911547636521,1,-314.240644704209,634.481289408417,641.226775134565,32497.6256928972,68,70
"10","UK","Mid channel","BestSalinity",12.6565564012174,4.40630019103568,2.87237724451146,0.00542911547636559,0.108203166046935,0.0950885067240955,21.8610672243984,8.25055103478737,0.00542911547636521,1,-314.240644704209,634.481289408417,641.226775134565,32497.6256928972,68,70
