"","Sub_region","Zone","term","estimate","std.error","statistic","p.value","r.squared","adj.r.squared","sigma","statistic.1","p.value.1","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"1","BB","Inshore","(Intercept)",0.320360485315386,0.0800010198154994,4.00445501887613,0.000137047252456666,0.573854408011857,0.568593351320645,0.018713845028594,109.075883742225,1.14881687426457e-16,1,213.455154264593,-420.910308529187,-413.653786705797,0.0283668476560927,81,83
"2","BB","Inshore","BestSalinity",0.0233270751132888,0.00223355122725395,10.4439400487663,1.14881687426454e-16,0.573854408011857,0.568593351320645,0.018713845028594,109.075883742225,1.14881687426457e-16,1,213.455154264593,-420.910308529187,-413.653786705797,0.0283668476560927,81,83
"3","BB","Mid channel","(Intercept)",0.642445709382447,0.0830531406239728,7.73535720089324,4.42029198704116e-11,0.346244755586102,0.337289204292761,0.0112012253063617,38.6625841609052,2.82761282653593e-08,1,231.473093047549,-456.946186095098,-449.993721754489,0.00915912373056303,73,75
"4","BB","Mid channel","BestSalinity",0.014338504248349,0.0023059952593837,6.21792442547392,2.82761282653593e-08,0.346244755586102,0.337289204292761,0.0112012253063617,38.6625841609052,2.82761282653593e-08,1,231.473093047549,-456.946186095098,-449.993721754489,0.00915912373056303,73,75
"5","BB","Offshore","(Intercept)",1.10748984776401,0.0562588950268006,19.6855954464876,2.09024181599702e-32,0.0111104187814197,-0.00125070098381252,0.00887670062627214,0.898819766528731,0.345953474100277,1,272.054115446913,-538.108230893827,-530.888073152034,0.00630366512067682,80,82
"6","BB","Offshore","BestSalinity",0.00148376260921899,0.0015650496340008,0.948061056329558,0.345953474100281,0.0111104187814197,-0.00125070098381252,0.00887670062627214,0.898819766528731,0.345953474100277,1,272.054115446913,-538.108230893827,-530.888073152034,0.00630366512067682,80,82
"7","UK","Inshore","(Intercept)",0.192281845762478,0.109839266225197,1.75057474772505,0.0830258890005124,0.435848149659408,0.430317249165873,0.0283964657305628,78.802384922464,2.47089922613724e-14,1,223.835154128545,-441.67030825709,-433.737135559666,0.0822486451306768,102,104
"8","UK","Inshore","BestSalinity",0.0270412768330624,0.00304619368541251,8.87707073997183,2.47089922613718e-14,0.435848149659408,0.430317249165873,0.0283964657305628,78.802384922464,2.47089922613724e-14,1,223.835154128545,-441.67030825709,-433.737135559666,0.0822486451306768,102,104
"9","UK","Mid channel","(Intercept)",0.53302119395313,0.110202098239522,4.83676084637354,7.89865472840725e-06,0.325160116797592,0.315236000868144,0.0151950478759832,32.7646431288418,2.56333263373947e-07,1,194.763865595469,-383.527731190937,-376.782245464789,0.0157004846368327,68,70
"10","UK","Mid channel","BestSalinity",0.0175310333266725,0.00306270236816326,5.72404080426074,2.56333263373936e-07,0.325160116797592,0.315236000868144,0.0151950478759832,32.7646431288418,2.56333263373947e-07,1,194.763865595469,-383.527731190937,-376.782245464789,0.0157004846368327,68,70
