"","Zone","term","estimate","std.error","statistic","p.value","r.squared","adj.r.squared","sigma","statistic.1","p.value.1","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"1","Inshore","(Intercept)",3548.39542864902,159.433427984068,22.2562825971704,4.11395710915243e-74,0.172015196691704,0.170137680130914,101.394281085541,91.6184710612324,7.60370373249831e-20,1,-2673.8118997331,5353.6237994662,5365.90450877634,4533832.90445251,441,443
"2","Inshore","BestSalinity",-42.3470559708186,4.4241689451156,-9.57175381323781,7.60370373249798e-20,0.172015196691704,0.170137680130914,101.394281085541,91.6184710612324,7.60370373249831e-20,1,-2673.8118997331,5353.6237994662,5365.90450877634,4533832.90445251,441,443
"3","Mid channel","(Intercept)",2563.24197767665,150.741316135917,17.0042430528169,2.8603680363572e-49,0.0293245295543097,0.0269159055581666,60.242242115402,12.1748058647867,0.000537835509231793,1,-2233.50901866965,4473.0180373393,4485.02969854062,1462538.47724156,403,405
"4","Mid channel","BestSalinity",-14.6092611516114,4.18694475000507,-3.48924144547016,0.000537835509231794,0.0293245295543097,0.0269159055581666,60.242242115402,12.1748058647867,0.000537835509231793,1,-2233.50901866965,4473.0180373393,4485.02969854062,1462538.47724156,403,405
"5","Offshore","(Intercept)",1873.12374886256,84.4959298627686,22.1682127400069,1.52742361251122e-75,0.00874798346892707,0.00668716846574402,30.4934729780027,4.24491449034245,0.0399053308943837,1,-2335.00385018682,4676.00770037364,4688.5477503346,447258.761139148,481,483
"6","Offshore","BestSalinity",4.83757261799946,2.34797259848052,2.06031902635067,0.0399053308943802,0.00874798346892707,0.00668716846574402,30.4934729780027,4.24491449034245,0.0399053308943837,1,-2335.00385018682,4676.00770037364,4688.5477503346,447258.761139148,481,483
"7","Oceanic","(Intercept)",1831.92622339613,96.0567754256428,19.0712858648291,1.88713934898515e-46,0.0250981742760536,0.0200986777338796,22.5801193427764,5.0201403409991,0.0261822525160023,1,-892.588539554773,1791.17707910955,1801.02669029576,99423.0489591346,195,197
"8","Oceanic","BestSalinity",5.98243914928326,2.67005594253299,2.24056696864858,0.0261822525160026,0.0250981742760536,0.0200986777338796,22.5801193427764,5.0201403409991,0.0261822525160023,1,-892.588539554773,1791.17707910955,1801.02669029576,99423.0489591346,195,197
