"","Sub_region","Zone","term","estimate","std.error","statistic","p.value","r.squared","adj.r.squared","sigma","statistic.1","p.value.1","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"1","BB","Inshore","(Intercept)",3483.38115684599,296.1124639709,11.7637100111676,1.59906688540869e-18,0.162400175695853,0.150926205499906,64.8350868515258,14.1537909653291,0.000337535421319835,1,-418.295333819134,842.590667638268,849.543131978877,306861.959554278,73,75
"2","BB","Inshore","BestSalinity",-31.0583185428616,8.25546520409755,-3.76215243781125,0.000337535421319826,0.162400175695853,0.150926205499906,64.8350868515258,14.1537909653291,0.000337535421319835,1,-418.295333819134,842.590667638268,849.543131978877,306861.959554278,73,75
"3","BB","Mid channel","(Intercept)",2020.01603857857,180.044918652645,11.2195115179881,4.93443151887602e-17,0.0555040376445137,0.0414070829824915,22.9956298239844,3.93730695566781,0.0513245591508345,1,-313.227968876862,632.455937753724,639.158257267515,35429.5323971154,67,69
"4","BB","Mid channel","BestSalinity",9.90730765805053,4.99293615339055,1.98426484010271,0.0513245591508338,0.0555040376445137,0.0414070829824915,22.9956298239844,3.93730695566781,0.0513245591508345,1,-313.227968876862,632.455937753724,639.158257267515,35429.5323971154,67,69
"5","BB","Offshore","(Intercept)",2341.22780635924,112.679757057569,20.7777143605581,3.88731431456593e-32,0.00151669224919598,-0.0123511314695652,15.8255119342561,0.109367719114003,0.741825601241824,1,-308.347814886689,622.695629773379,629.607825052991,18032.1716146523,72,74
"6","BB","Offshore","BestSalinity",1.03474690809192,3.12888470220844,0.33070790603488,0.741825601241855,0.00151669224919598,-0.0123511314695652,15.8255119342561,0.109367719114003,0.741825601241824,1,-308.347814886689,622.695629773379,629.607825052991,18032.1716146523,72,74
"7","UK","Inshore","(Intercept)",3436.80698388978,301.580948077342,11.3959684980113,2.07312254906967e-19,0.116166944034176,0.10676446471539,70.1495074511373,12.3549268331901,0.000678644036756845,1,-543.267898921252,1092.5357978425,1100.22884241691,462569.619189894,94,96
"8","UK","Inshore","BestSalinity",-29.3622311895364,8.35350938638162,-3.51495758625763,0.000678644036756845,0.116166944034176,0.10676446471539,70.1495074511373,12.3549268331901,0.000678644036756845,1,-543.267898921252,1092.5357978425,1100.22884241691,462569.619189894,94,96
"9","UK","Mid channel","(Intercept)",1910.45619479996,171.723382634997,11.1251954479646,2.57911102768657e-16,0.109375186929879,0.0947747801582371,21.7074053349049,7.49124244554064,0.00811174725589457,1,-282.269078538248,570.538157076496,576.967561255671,28743.8982288054,61,63
"10","UK","Mid channel","BestSalinity",13.042765701783,4.76532764514809,2.73701341712836,0.00811174725589437,0.109375186929879,0.0947747801582371,21.7074053349049,7.49124244554064,0.00811174725589457,1,-282.269078538248,570.538157076496,576.967561255671,28743.8982288054,61,63
